nm9423081&Willie Aames&1960
nm9423870&Steve Buscemi&1958
nm9423871&Mae Busch&1879
nm9423872&Billy Green Bush&NULL
nm9423873&Anthony Bushell&1904
nm9423874&Francis X. Bushman&1883
nm9423875&Robert Butler&NULL
nm9423876&William Butler&NULL
nm9423877&Yancy Butler&NULL
nm9423878&Charles Butterworth&1896
nm9423879&Red Buttons&1918
nm9423880&Pat Buttram&NULL
nm9423881&Ruth Buzzi&NULL
nm9423882&Spring Byington&1893
nm9423883&John Byner&NULL
nm9423884&Ralph Byrd&1909
nm9423885&Tom Byrd&NULL
nm9423886&Anne Byrne&NULL
nm9423887&Eddie Byrne&1911
nm9423888&Martha Byrne&NULL
nm9423889&Kathleen Byron&NULL
nm9423890&Walter Byron&1899
nm9423891&James Caan&1938
nm9423892&Bruce Cabot&1904
nm9423893&Sebastian Cabot&1918
nm9423894&Jean Cadell&1884
nm9423895&Sid Caesar&1922
nm9423896&Cheri Caffaro&NULL
nm9423897&Jeanne Cagney&1919
nm9423898&Jimmy Cagney&1899
nm9423899&William Cagney&NULL
nm9423900&Howard Caine&1926
nm9423901&Anna Calder-Marshall&1949
nm9423902&Louis Calhern&1895
nm9423903&Rory Calhoun&1922
nm9423904&Joseph Cali&NULL
nm9423905&Michael Callan&1935
nm9423906&Maria Callas&1923
nm9423907&Joseph Calleia&1897
nm9423908&Simon Callow&NULL
nm9423909&Cab Calloway&1907
nm9423910&Donald Calthrop&1888
nm9423911&Phyllis Calvert&1915
nm9423912&Corinne Calvet&1925
nm9423913&Henry Calvin&1918
nm9423914&Godfrey Cambridge&1929
nm9423915&Rod Cameron&1910
nm9423916&Coleen Camp&NULL
nm9423917&Hamilton Camp&NULL
nm9423918&Rosemary Camp&1913
nm9423919&Frank Campanella&NULL
nm9423920&Joseph Campanella&1927
nm9423921&Beatrice Campbell&1923
nm9423922&Bill Campbell&NULL
nm9423923&Cheryl Campbell&NULL
nm9423924&Colin Campbell&1883
nm9423925&Colin Campbell&1937
nm9423926&Daisy Campbell&NULL
nm9423927&Eric Campbell&1878
nm9423928&Glen Campbell&1935
nm9423929&William Campbell&1926
nm9423930&Gianna Maria Canale&1927
nm9423931&John Candy&1951
nm9423932&James Canning&NULL
nm9423933&Dyan Cannon&1938
nm9423934&Freedy Cannon&NULL
nm9423935&J.D. Cannon&1922
nm9423936&Kathy Cannon&NULL
nm9423937&Judy Canova&1916
nm9423938&Cantilene&0
nm9423939&Cantinflas&1911
nm9423940&Eddie Cantor&1892
nm9423941&Truman Capote&1925
nm9423942&Ahna Capri&NULL
nm9423943&Kate Capshaw&NULL
nm9423944&Capucine&1933
nm9423945&Irene Cara&NULL
nm9423946&Richard Cardella&NULL
nm9423947&Pat Cardi&NULL
nm9423948&Claudia Cardinale&1939
nm9423949&Arthur Carewe&NULL
nm9423950&Harry Carey&1878
nm9423951&Harry Carey~jr.&NULL
nm9423952&Joyce Carey&1898
nm9423953&Leonard Carey&1893
nm9423954&MacDonald Carey&1913
nm9423955&Phil Carey&1925
nm9423956&Ron Carey&NULL
nm9423957&Timothy Carey&1925
nm9423958&Patrick Cargill&1918
nm9423959&Tim Carhart&NULL
nm9423960&Leo Carillo&NULL
nm9423961&George Carlin&NULL
nm9423962&Anne Carlisle&NULL
nm9423963&Kitty Carlisle&1915
nm9423964&Johanna Carlo&NULL
nm9423965&Charles Carlson&NULL
nm9423966&Karen Carlson&NULL
nm9423967&Moose Carlson&NULL
nm9423968&Richard Carlson&NULL
nm9423969&Ingmari Carlssen&NULL
nm9423970&Pamela Carme&NULL
nm9423971&Julie Carmen&NULL
nm9423972&Hoagy Carmichael&1899
nm9423973&Ian Carmichael&1920
nm9423974&Tullio Carminati&1894
nm9423975&Judy Carne&1939
nm9423976&Art Carney&1918
nm9423977&George Carney&1887
nm9423978&Angela Carnon&NULL
nm9423979&Morris Carnovsky&1897
nm9423980&Martine Carol&1922
nm9423981&Sue Carol&1907
nm9423982&Leslie Caron&1931
nm9423983&Horace Carpenter&NULL
nm9423984&Linda Carpenter&NULL
nm9423985&Carpin&NULL
nm9423986&Carol Carr&NULL
nm9423987&Charmian Carr&1944
nm9423988&Darleen Carr&NULL
nm9423989&Mary Carr&1874
nm9423990&Paul Carr&NULL
nm9423991&Bruce Carradine&NULL
nm9423992&David Carradine&1940
nm9423993&John Carradine&1906
nm9423994&Keith Carradine&1945
nm9423995&Robert Carradine&1954
nm9423996&Barbara Carrera&1945
nm9423997&Jim Carrey&NULL
nm9423998&Matthew Carriere&NULL
nm9423999&Pat Carrol&NULL
nm9424000&Regina Carrol&NULL
nm9424001&John Carroll&1906
nm9424002&Leo G. Carroll&1892
nm9424003&Madeleine Carroll&1906
nm9424004&Nancy Carroll&1905
nm9424005&Regina Carroll&NULL
nm9424006&Charles Carson&1898
nm9424007&Jack Carson&1910
nm9424008&John Carson&1927
nm9424009&Kit Carson&NULL
nm9424010&Ann Carter&1936
nm9424011&Ben Carter&1911
nm9424012&Helena Carter&1923
nm9424013&Jack Carter&1922
nm9424014&Jim Carter&NULL
nm9424015&Lydia Carter&NULL
nm9424016&Lynda Carter&NULL
nm9424017&T.K. Carter&NULL
nm9424018&Anthony Caruso&1913
nm9424019&Louise Carver&1898
nm9424020&Maria Casares&1922
nm9424021&Bernie Casey&NULL
nm9424022&Rosalind Cash&1945
nm9424023&John Cassavetes&1929
nm9424024&John Cassavetes&1929
nm9424025&JeanPierre Cassel&1932
nm9424026&Jack Cassidy&NULL
nm9424027&Joanna Cassidy&1944
nm9424028&Ted Cassidy&1932
nm9424029&JeanPierre Castaldi&NULL
nm9424030&Richard Castellano&1931
nm9424031&William Castle&1914
nm9424032&Walter Catlett&1889
nm9424033&Kim Cattrall&NULL
nm9424034&Joan Caulfield&1922
nm9424035&Olimpia Cavalli&NULL
nm9424036&Paul Cavanagh&1895
nm9424037&Hobart Cavanaugh&1886
nm9424038&Dick Cavett&NULL
nm9424039&Joseph Cawthorn&1868
nm9424040&John Cazale&1936
nm9424041&Christopher Cazenove&NULL
nm9424042&Gino Cervi&1901
nm9424043&Renzo Cesana&NULL
nm9424044&June Chadwick&NULL
nm9424045&George Chakiris&1933
nm9424046&William Challee&NULL
nm9424047&Richard Chamberlain&1935
nm9424048&Wilt Chamberlain&NULL
nm9424049&Marilyn Chambers&NULL
nm9424050&Lolita Chammah&1983
nm9424051&Marge Champion&1923
nm9424052&Jackie Chan&NULL
nm9424053&Chick Chandler&1905
nm9424054&George Chandler&1902
nm9424055&Helen Chandler&1909
nm9424056&Jeff Chandler&1918
nm9424057&Joan Chandler&1923
nm9424058&John Davis Chandler&1937
nm9424059&Simon Chandler&NULL
nm9424060&Lon Chaney&1883
nm9424061&Lon Chaney~jr.&1906
nm9424062&Carol Channing&1921
nm9424063&Margo Channing&NULL
nm9424064&Charlie Chaplin&1889
nm9424065&Esme Chaplin&NULL
nm9424066&Josephine Chaplin&NULL
nm9424067&Oona Chaplin&1926
nm9424068&Edward Chapman&1901
nm9424069&Geraldine Chapman&NULL
nm9424070&Graham Chapman&NULL
nm9424071&Lonny Chapman&NULL
nm9424072&Marguerite Chapman&1916
nm9424073&Cyd Charisse&1921
nm9424074&Bobby H. Charles&NULL
nm9424075&Ray Charles&1930
nm9424076&Ian Charleson&NULL
nm9424077&Henri Charrieri&NULL
nm9424078&Spencer Charters&1878
nm9424079&Charlie Chase&1893
nm9424080&Chevy Chase&1949
nm9424081&Stephen Chase&NULL
nm9424082&Martine Chassaing&NULL
nm9424083&Marvin Chatinover&NULL
nm9424084&Soumitra Chatterjee&NULL
nm9424085&Ruth Chatterton&1893
nm9424086&Chubby Checker&1941
nm9424087&Michael Chekhov&1891
nm9424088&Joan Chen&NULL
nm9424089&Patrice Chereau&NULL
nm9424090&Nicolai Cherkassov&1903
nm9424091&Virginia Cherrill&1908
nm9424092&Arthur Chesney&NULL
nm9424093&Helen Chester&NULL
nm9424094&Leslie Cheung&NULL
nm9424095&Anne Chevalier&NULL
nm9424096&Maurice Chevalier&1888
nm9424097&Walter Chiari&1924
nm9424098&Sonny Chiba&NULL
nm9424099&Lois Chiles&1950
nm9424100&Eric Chitty&NULL
nm9424101&Rae Dawn Chong&1961
nm9424102&Shelby Chong&NULL
nm9424103&Thomas Chong&NULL
nm9424104&Sarita Choudhury&NULL
nm9424105&Navin Chowdhury&NULL
nm9424106&Linda Cristian&NULL
nm9424107&Suzanne Christian&NULL
nm9424108&Audrey Christie&1912
nm9424109&Dave Dennis Christopher&1955
nm9424110&Kay Christopher&NULL
nm9424111&William Christopher&NULL
nm9424112&International Chrysis&1951
nm9424113&Berton Churchill&1876
nm9424114&Sarah Churchill&NULL
nm9424115&Eduardo Cianelli&1887
nm9424116&Diane Cilento&1933
nm9424117&Michael Cimino&1940
nm9424118&Augusta Ciolli&NULL
nm9424119&Audrey Claire&NULL
nm9424120&Ina Claire&1892
nm9424121&Jimmy Clanton&NULL
nm9424122&Gordon Clapp&NULL
nm9424123&Eric Clapton&NULL
nm9424124&Mary Clare&1894
nm9424125&O.B. Clarence&1870
nm9424126&D. Greydon Clark&NULL
nm9424127&Candy Clark&1949
nm9424128&Cliff Clark&1893
nm9424129&Dane Clark&1913
nm9424130&Ernest Clark&1912
nm9424131&Fred Clark&1914
nm9424132&Ken Clark&NULL
nm9424133&Marguerite Clark&1883
nm9424134&Petula Clark&1932
nm9424135&Susan Clark&1940
nm9424136&Mae Clarke&1910
nm9424137&Caitlin Clarke&NULL
nm9424138&Sharon D. Clarke&NULL
nm9424139&Warren Clarke&NULL
nm9424140&D.A. ClarkeSmith&1888
nm9424141&Jill Clayburgh&1945
nm9424142&Ethel Clayton&1884
nm9424143&Pierre Clementi&1941
nm9424144&John Clements&1910
nm9424145&David Clendinning&NULL
nm9424146&David Clennon&NULL
nm9424147&Corinne Clery&NULL
nm9424148&Jimmy Cliff&NULL
nm9424149&Montgomery Clift&1920
nm9424150&Colin Clive&1898
nm9424151&E.E. Clive&1879
nm9424152&Al Cliver&NULL
nm9424153&George Clooney&NULL
nm9424154&Rosemary Clooney&1928
nm9424155&Raymond Cloutier&NULL
nm9424156&Suzanne Cloutier&1927
nm9424157&Vera Clouzot&1921
nm9424158&Jennifer Cluff&NULL
nm9424159&Alec Clunes&1912
nm9424160&Andy Clyde&1892
nm9424161&June Clyde&NULL
nm9424162&Lee J. Cobb&1911
nm9424163&Charles Coburn&1877
nm9424164&Steve Cochran&1917
nm9424165&James Coco&1928
nm9424166&Ann Codee&1890
nm9424167&Lew Cody&1884
nm9424168&George Coe&NULL
nm9424169&Peter Coe&1929
nm9424170&Tristam Coffin&NULL
nm9424171&George M. Cohan&1878
nm9424172&Mindy Cohen&NULL
nm9424173&Nicholas Colasanto&NULL
nm9424174&Claudette Colbert&1905
nm9424175&Mabel Colcord&NULL
nm9424176&George Cole&1925
nm9424177&Nat King Cole&1919
nm9424178&Rosalie Cole&NULL
nm9424179&Robert Coleby&NULL
nm9424180&Charles Coleman&1885
nm9424181&Dabney Coleman&NULL
nm9424182&Gary Coleman&1968
nm9424183&Nancy Coleman&1917
nm9424184&David Colin~jr.&NULL
nm9424185&Jean Colin&1905
nm9424186&Bonar Colleano&1924
nm9424187&Kenneth Colley&NULL
nm9424188&Constance Collier&1878
nm9424189&Dan Collier&NULL
nm9424190&John Collier&1931
nm9424191&Lois Collier&1919
nm9424192&Patience Collier&NULL
nm9424193&Richard Collier&1919
nm9424194&William Collier&1866
nm9424195&Patricia Collinge&1892
nm9424196&Cora Sue Collins&1927
nm9424197&Eddie Collins&1884
nm9424198&Joan Collins&1933
nm9424199&Lewis Collins&1946
nm9424200&Phil Collins&NULL
nm9424201&Ray Collins&1890
nm9424202&Pauline Collins&1940
nm9424203&Roberta Collins&NULL
nm9424204&Russell Collins&1897
nm9424205&June Collyer&1891
nm9424206&Richard Colman&1891
nm9424207&Ronald Colman&1891
nm9424208&Scott Colomby&NULL
nm9424209&Miriam Colon&NULL
nm9424210&Willie Colon&NULL
nm9424211&Jerry Colonna&1903
nm9424212&Tita Colorado&NULL
nm9424213&Norman Combes&NULL
nm9424214&Frederick Combs&NULL
nm9424215&Anjanette Comer&1942
nm9424216&Dorothy Comingore&1913
nm9424217&The Commodores&NULL
nm9424218&Betty Compson&1896
nm9424219&Fay Compton&NULL
nm9424220&Joyce Compton&1907
nm9424221&Oliver Conant&NULL
nm9424222&Chester Conklin&1888
nm9424223&Jimmy Conlin&1884
nm9424224&Didi Conn&NULL
nm9424225&Betty Connell&NULL
nm9424226&Chris Connelly&NULL
nm9424227&Jenifer Connelly&NULL
nm9424228&Neil Connery&1938
nm9424229&Sean Connery&1929
nm9424230&Walter Connolly&1887
nm9424231&Kenneth Connor&1918
nm9424232&Chuck Connors&1937
nm9424233&Michael Connors&1925
nm9424234&Mike Connors&1925
nm9424235&Touch Connors&1925
nm9424236&William Conrad&1920
nm9424237&Hans Conried&1917
nm9424238&Frank Conroy&1890
nm9424239&John Considine&NULL
nm9424240&Tim Considine&NULL
nm9424241&Michel Constantin&NULL
nm9424242&Richard Conte&1914
nm9424243&Mario Conti&NULL
nm9424244&Tom Conti&1945
nm9424245&Frank Converse&1938
nm9424246&Bert Convy&1932
nm9424247&Gary Conway&1938
nm9424248&Morgan Conway&1903
nm9424249&Tim Conway&1933
nm9424250&Carolyn Conwell&NULL
nm9424251&Jackie Coogan&1914
nm9424252&Clyde Cook&1891
nm9424253&Elisha Cook~jr.&1902
nm9424254&Fielder Cook&1923
nm9424255&Perry Cook&NULL
nm9424256&Peter Cook&1937
nm9424257&Ron Cook&NULL
nm9424258&Alice Cooper&NULL
nm9424259&Gary Cooper&1901
nm9424260&Dame Gladys Cooper&1888
nm9424261&Jackie Cooper&1921
nm9424262&Melville Cooper&1896
nm9424263&Miriam Cooper&1900
nm9424264&Terrec Cooper&NULL
nm9424265&Robert Coote&1909
nm9424266&Sofia Coppola&NULL
nm9424267&Gretchen Corbett&1947
nm9424268&Harry H. Corbett&1925
nm9424269&Barry Corbin&NULL
nm9424270&Ellen Corby&1913
nm9424271&Kevin Corcoran&1949
nm9424272&Alex Cord&1931
nm9424273&Lola Cordova&NULL
nm9424274&Raymond Cordy&1898
nm9424275&Irwin Corey&NULL
nm9424276&Jeff Corey&1914
nm9424277&Wendell Corey&1914
nm9424278&Judy Cornwell&NULL
nm9424279&Adrienne Corri&1930
nm9424280&Douglas `Wrong Way' Corrigan&1907
nm9424281&Lloyd Corrigan&1900
nm9424282&Salvatore Corsitto&NULL
nm9424283&Bud Cort&1950
nm9424284&Valentina Cortesa&1924
nm9424285&Joseph Cortese&NULL
nm9424286&Ricardo Cortez&1899
nm9424287&Nicholas Cortland&NULL
nm9424288&Henry Cory&NULL
nm9424289&Wendell Cory&NULL
nm9424290&Cybil Cosack&NULL
nm9424291&Ernest Cosart&NULL
nm9424292&Bill Cosby&1938
nm9424293&Howard Cosell&1919
nm9424294&Rich Cosentino&NULL
nm9424295&James Cossins&1933
nm9424296&Caroline `Tula' Cossey&1955
nm9424297&Desiree Costeau&NULL
nm9424298&Dolores Costello&1905
nm9424299&Helene Costello&1904
nm9424300&Lou Costello&1906
nm9424301&Joseph Cotten&1905
nm9424302&George Coulouris&1903
nm9424303&Carolyn Courage&NULL
nm9424304&Hazel Court&1926
nm9424305&Cicely Courtneige&NULL
nm9424306&Maggie CousineauArndt&NULL
nm9424307&Jerome Cowan&1897
nm9424308&Herbert `Cowboy' Coward&NULL
nm9424309&Noel Coward&1899
nm9424310&Ruth Cox&NULL
nm9424311&Wally Cox&1924
nm9424312&Peter Coyote&NULL
nm9424313&Buster Crabbe&1907
nm9424314&Donald Crabtree&NULL
nm9424315&James Craig&1912
nm9424316&Michael Craig&1928
nm9424317&Wendy Craig&1934
nm9424318&Jack Crain&NULL
nm9424319&Jeanne Crain&1925
nm9424320&Grant Cramer&NULL
nm9424321&Norma Crane&NULL
nm9424322&Nick Cravat&1911
nm9424323&Frank Craven&1875
nm9424324&Gemma Craven&1950
nm9424325&Andrew Crawford&1917
nm9424326&Broderick Crawford&1910
nm9424327&Joan Crawford&1906
nm9424328&John Crawford&NULL
nm9424329&Michael Crawford&1942
nm9424330&Laird Cregar&1916
nm9424331&Plett Creighton&NULL
nm9424332&Jack Creley&NULL
nm9424333&Richard Crenna&1926
nm9424334&Robert Crenna&NULL
nm9424335&Laura Hope Crews&1880
nm9424336&Bernard Cribbins&1928
nm9424337&Michael Crichton&NULL
nm9424338&Lou Crisoula&NULL
nm9424339&Donald Crisp&1880
nm9424340&Linda Cristal&1936
nm9424341&Barry Crocker&NULL
nm9424342&Dick Crockett&NULL
nm9424343&Richard Cromwell&1910
nm9424344&Hume Cronyn&1911
nm9424345&Bing Crosby&1904
nm9424346&Cathy Lee Crosby&NULL
nm9424347&Harry Crosby&NULL
nm9424348&Kim Crosby&NULL
nm9424349&Lindsay Crosby&1938
nm9424350&Mary Crosby&NULL
nm9424351&Henrietta Crosman&1861
nm9424352&Ben Cross&1948
nm9424353&Rupert Crosse&1927
nm9424354&Scatman Crothers&NULL
nm9424355&Lindsay Crouse&NULL
nm9424356&Pat Crowley&1929
nm9424357&Andrew Cruickshank&1907
nm9424358&Tom Cruise&1961
nm9424359&Rosalie Crutchley&1921
nm9424360&James Cruze&1884
nm9424361&Riccardo Cucciola&1932
nm9424362&Macaulay Culkin&1980
nm9424363&John Cullum&NULL
nm9424364&Roland Culver&1900
nm9424365&Dorothy Cumming&NULL
nm9424366&Constance Cummings&1910
nm9424367&Bob Cummings&1908
nm9424368&Quinn Cummings&NULL
nm9424369&Susan Cummings&NULL
nm9424370&Peggy Cummins&NULL
nm9424371&Cecil Cunningham&1888
nm9424372&John Cunningham&NULL
nm9424373&Alain Cuny&1908
nm9424374&Lee Curreri&NULL
nm9424375&Finlay Currie&1878
nm9424376&Michael Currie&NULL
nm9424377&Sondra Currie&NULL
nm9424378&Steve Curry&NULL
nm9424379&Jane Curtin&NULL
nm9424380&Valerie Curtin&NULL
nm9424381&Alan Curtis&1909
nm9424382&Kelly Curtis&NULL
nm9424383&Ken Curtis&1916
nm9424384&Tony Curtis&1925
nm9424385&George Curzon&1896
nm9424386&Cyril Cusack&1910
nm9424387&Peter Cushing&1913
nm9424388&Allan Cuthbertson&1920
nm9424389&Zbigniew Cybulski&1927
nm9424390&Maryam DAbo&NULL
nm9424391&Olivia DAbo&1970
nm9424392&Willem Dafoe&NULL
nm9424393&Lil Dagover&NULL
nm9424394&Arlene Dahl&1924
nm9424395&Eva Dahlbeck&1920
nm9424396&Dan Daily&1914
nm9424397&Elizabeth Daily&NULL
nm9424398&Irene Daily&NULL
nm9424399&Amy Dalby&1888
nm9424400&Charles Dale&1881
nm9424401&Jennifer Dale&NULL
nm9424402&Jim Dale&1935
nm9424403&Marcel Dalio&1900
nm9424404&John Dall&1918
nm9424405&Beatrice Dalle&NULL
nm9424406&Timothy Dalton&1944
nm9424407&James Daly&1918
nm9424408&Tyne Daly&1947
nm9424409&Mark Damon&NULL
nm9424410&Vic Damone&1929
nm9424411&Claude Dampier&1879
nm9424412&Bill Dana&NULL
nm9424413&Leona Dana&NULL
nm9424414&Leora Dana&1923
nm9424415&Mara Danaud&NULL
nm9424416&Charles Dance&NULL
nm9424417&Tom dAndrea&NULL
nm9424418&Dorothy Dandridge&1923
nm9424419&Karl Dane&1886
nm9424420&Beverly D'Angelo&1854
nm9424421&Mirella D'Angelo&NULL
nm9424422&Rodney Dangerfield&NULL
nm9424423&Henry Daniell&1894
nm9424424&Suzanne Danielle&NULL
nm9424425&Anthony Daniels&NULL
nm9424426&Bebe Daniels&1901
nm9424427&Jeff Daniels&NULL
nm9424428&William Daniels&1927
nm9424429&Blythe Danner&1945
nm9424430&Sybil Danning&NULL
nm9424431&Royal Dano&1922
nm9424432&Ted Danson&1952
nm9424433&Michael Dante&1931
nm9424434&Helmut Dantine&1917
nm9424435&Ray Danton&1931
nm9424436&Tony Danza&NULL
nm9424437&Patti D'Arbanville&NULL
nm9424438&Denise Darcel&1925
nm9424439&Alex D'Arcy&1908
nm9424440&Ruth Dardick&NULL
nm9424441&Frank Darien&NULL
nm9424442&Bobby Darin&1936
nm9424443&Linda Darnell&1921
nm9424444&Jane Darwell&1880
nm9424445&Howard daSilva&1909
nm9424446&Jules Dassin&1911
nm9424447&Jean Daste&NULL
nm9424448&Claude Dauphin&1903
nm9424449&Elyssa Davalos&NULL
nm9424450&Doris Davenport&NULL
nm9424451&Harry Davenport&1866
nm9424452&Nigel Davenport&1928
nm9424453&Thayer David&1926
nm9424454&Eileen Davidson&NULL
nm9424455&John Davidson&1886
nm9424456&William B. Davidson&1888
nm9424457&John Howard Davies&1939
nm9424458&Lolita Davidovitch&NULL
nm9424459&Marion Davies&1897
nm9424460&Rupert Davies&1916
nm9424461&Bette Davis&1908
nm9424462&Brad Davis&1950
nm9424463&Clifton Davis&NULL
nm9424464&Geena Davis&NULL
nm9424465&Gene Davis&NULL
nm9424466&Jim Davis&1915
nm9424467&Joan Davis&1907
nm9424468&Judy Davis&1956
nm9424469&Larry Davis&NULL
nm9424470&Lyndon Davis&NULL
nm9424471&Mac Davis&NULL
nm9424472&Miles Davis&NULL
nm9424473&Nancy Davis&1956
nm9424474&Phyllis Davis&NULL
nm9424475&Roger Davis&NULL
nm9424476&Sammy Davis~jr.&1925
nm9424477&Sonny Carl Davis&NULL
nm9424478&Bruce Davison&1948
nm9424479&Marjorie Daw&NULL
nm9424480&Marpessa Dawn&NULL
nm9424481&Anthony Dawson&1916
nm9424482&Clayton Day&NULL
nm9424483&Dennis Day&NULL
nm9424484&Doris Day&1924
nm9424485&Frances Day&1908
nm9424486&Josette Day&1914
nm9424487&Laraine Day&1917
nm9424488&Lawrence Day&NULL
nm9424489&Marceline Day&NULL
nm9424490&Daniel DayLewis&1957
nm9424491&Brian Deacon&NULL
nm9424492&Richard Deacon&1923
nm9424493&Isabel Dean&1918
nm9424494&Jimmy Dean&1931
nm9424495&Laura Dean&NULL
nm9424496&Darcia Deane&NULL
nm9424497&Maria DeAragon&NULL
nm9424498&Brenda deBanzie&1915
nm9424499&Kristine DeBell&NULL
nm9424500&John DeBello&NULL
nm9424501&Yvonne deBray&1889
nm9424502&Nigel deBrulier&1878
nm9424503&Rosemary de Camp&1913
nm9424504&Yvonne deCarlo&1922
nm9424505&Jeanne DeCasalis&1896
nm9424506&Pedro DeCordoba&1881
nm9424507&Arturo deCordova&1908
nm9424508&Ted DeCorsia&1904
nm9424509&Frances Dee&1908
nm9424510&Ruby Dee&1923
nm9424511&Sandra Dee&1942
nm9424512&Ermelinda deFelice&NULL
nm9424513&Eduardo DeFilippo&1900
nm9424514&Luca DeFilippo&NULL
nm9424515&Peppino DeFillippo&NULL
nm9424516&Willem Defoe&NULL
nm9424517&Don Defore&1917
nm9424518&Louis deFunes&1908
nm9424519&Pia Degermark&1949
nm9424520&Nicholas DeGunzberg&NULL
nm9424521&Gloria deHaven&1924
nm9424522&Olivia deHavilland&1916
nm9424523&John Dehner&1915
nm9424524&Albert Dekker&1905
nm9424525&Frank deKova&NULL
nm9424526&Marguerite DeLaMotte&1903
nm9424527&Suzy Delair&1916
nm9424528&Cyril Delevanti&1887
nm9424529&Alain Delon&1935
nm9424530&Daniele Delorme&1926
nm9424531&Carla DelPoggio&NULL
nm9424532&Dolores delRio&1905
nm9424533&Robert Deman&NULL
nm9424534&William Demarest&1892
nm9424535&Derrick deMarney&1906
nm9424536&Terrence deMarney&1909
nm9424537&Maria deMadeiros&NULL
nm9424538&Cecil B. DeMille&1881
nm9424539&Katherine DeMille&1911
nm9424540&Mylene Demongeot&1936
nm9424541&Rebecca deMorney&NULL
nm9424542&Carol Dempster&1901
nm9424543&Maurice Denham&1909
nm9424544&Robert deNiro&1943
nm9424545&Michael Denison&1915
nm9424546&Brian Dennehy&1940
nm9424547&Charles Denner&1926
nm9424548&Richard Denning&1914
nm9424549&Sandy Dennis&1937
nm9424550&Raymond Denny&NULL
nm9424551&Reginald Denny&1891
nm9424552&Bob Denver&1935
nm9424553&Rossy dePalma&NULL
nm9424554&Elisabeth Depardieu&NULL
nm9424555&Frederic dePasquale&NULL
nm9424556&Jonny Depp&1963
nm9424557&Lya dePutti&1901
nm9424558&Emilie Dequenne&1971
nm9424559&Bo Derek&1957
nm9424560&John Derek&1926
nm9424561&Joe deRita&NULL
nm9424562&Richard Derr&1917
nm9424563&Cleavant Derricks&NULL
nm9424564&Jean Desailly&1920
nm9424565&Anne DeSalvo&NULL
nm9424566&Joe DeSantis&NULL
nm9424567&Vittorio DeSica&1901
nm9424568&Ivan Desny&1922
nm9424569&Edward DeSouza&1933
nm9424570&Ed DeStefane&NULL
nm9424571&Maruschka Detmers&NULL
nm9424572&Ernst Deutsch&1890
nm9424573&William Devane&NULL
nm9424574&William Devane&NULL
nm9424575&Andy Devine&1905
nm9424576&Danny deVito&NULL
nm9424577&Joe Devlin&NULL
nm9424578&William Devlin&NULL
nm9424579&Patrick Dewaere&NULL
nm9424580&Brandon deWilde&1942
nm9424581&Colleen Dewhurst&1926
nm9424582&William Dewhurst&NULL
nm9424583&Billy DeWolf&NULL
nm9424584&Francis DeWolff&1913
nm9424585&Elliot Dexter&NULL
nm9424586&Susan Dey&NULL
nm9424587&Cliff DeYoung&1945
nm9424588&Khigh Dheigh&1910
nm9424589&Selma Diamond&NULL
nm9424590&Cameron Diaz&1970
nm9424591&Bobby DiCicco&NULL
nm9424592&Lucinda Dickey&NULL
nm9424593&Angie Dickinson&1931
nm9424594&John Dierkes&1905
nm9424595&William Dieterle&1893
nm9424596&Anton Diffring&1918
nm9424597&Arthur Dignam&NULL
nm9424598&Basil Dignam&1905
nm9424599&Mark Dignam&1909
nm9424600&Bradford Dillman&1930
nm9424601&Melinda Dillon&1939
nm9424602&Richard Dimbleby&NULL
nm9424603&Charles Dingle&1887
nm9424604&Celine Dion&1969
nm9424605&Piero DiOrio&NULL
nm9424606&Dante DiPaolo&NULL
nm9424607&Bob Dishy&NULL
nm9424608&Divine&NULL
nm9424609&Loretta Divine&NULL
nm9424610&Richard Dix&1894
nm9424611&Donna Dixon&NULL
nm9424612&Ivan Dixon&NULL
nm9424613&Jean Dixon&1896
nm9424614&Gitty Djamal&NULL
nm9424615&Joe Dobisch&NULL
nm9424616&Tamara Dobson&1947
nm9424617&Claire Dodd&1908
nm9424618&John Doe&1953
nm9424619&Shannon Doherty&1971
nm9424620&William Doherty&NULL
nm9424621&Faith Domergue&1925
nm9424622&Placido Domingo&1940
nm9424623&Arturo Dominici&NULL
nm9424624&Troy Donahue&1936
nm9424625&James Donald&1917
nm9424626&Peter Donat&NULL
nm9424627&Robert Donat&1905
nm9424628&Ludwig Donath&1900
nm9424629&Ruth Donelly&NULL
nm9424630&Yolande Donlan&1920
nm9424631&Brian Donlevy&1899
nm9424632&Jeff Donnell&1921
